央视频道,#genre#
山东卫视,http://113.64.145.129:8081/hls/75/index.m3u8
山东卫视,http://183.1.248.217:8081/hls/75/index.m3u8
山西卫视,http://120.84.121.106:808/hls/138/index.m3u8
山西卫视,http://113.109.117.242:8081/hls/64/index.m3u8
山西卫视,http://120.84.121.201:808/hls/138/index.m3u8
山西卫视,http://58.254.14.59:808/hls/42/index.m3u8
广东南方卫视,http://113.109.117.242:8081/hls/23/index.m3u8
广东卫视,http://113.109.117.242:8081/hls/42/index.m3u8
广东卫视,http://120.84.121.126:808/hls/121/index.m3u8
广东卫视,http://120.84.121.206:808/hls/121/index.m3u8
广东卫视,http://120.84.121.201:808/hls/121/index.m3u8
广东卫视,http://120.84.121.54:808/hls/121/index.m3u8
广东卫视,http://120.84.121.25:808/hls/121/index.m3u8
广东卫视,http://120.84.121.106:808/hls/121/index.m3u8
广西卫视,http://113.64.145.141:8081/hls/60/index.m3u8
广西卫视,http://113.64.145.129:8081/hls/60/index.m3u8
广西卫视,http://183.1.248.217:8081/hls/60/index.m3u8
广西卫视,http://113.64.145.173:8081/hls/60/index.m3u8
广西卫视,http://183.1.248.201:8081/hls/60/index.m3u8
广西卫视,http://113.64.145.154:8081/hls/60/index.m3u8
广西卫视,http://113.64.145.84:8081/hls/60/index.m3u8
广西卫视,http://113.64.145.200:8081/hls/60/index.m3u8
新疆卫视,http://120.84.121.201:808/hls/164/index.m3u8
新疆卫视,http://120.84.121.106:808/hls/164/index.m3u8
新疆卫视,http://120.84.121.54:808/hls/164/index.m3u8
新疆卫视,http://120.84.121.206:808/hls/164/index.m3u8
新疆卫视,http://183.1.249.104:8081/hls/104/index.m3u8
新疆卫视,http://120.84.121.25:808/hls/164/index.m3u8
新疆卫视,http://183.1.248.217:8081/hls/82/index.m3u8
新疆卫视,http://120.84.121.126:808/hls/164/index.m3u8
星空卫视,http://120.84.121.126:808/hls/79/index.m3u8
星空卫视,http://120.84.121.201:808/hls/79/index.m3u8
星空卫视,http://113.109.117.242:8081/hls/18/index.m3u8
星空卫视,http://120.84.121.206:808/hls/79/index.m3u8
星空卫视,http://120.84.121.54:808/hls/79/index.m3u8
星空卫视,http://120.84.121.25:808/hls/79/index.m3u8
江苏卫视,http://113.109.117.242:8081/hls/48/index.m3u8
江苏卫视,http://120.84.121.126:808/hls/130/index.m3u8
江苏卫视,http://120.84.121.201:808/hls/130/index.m3u8
江苏卫视,http://120.84.121.106:808/hls/130/index.m3u8
江苏卫视,http://120.84.121.25:808/hls/130/index.m3u8
江苏卫视,http://120.84.121.54:808/hls/130/index.m3u8
江苏卫视,http://120.84.121.206:808/hls/130/index.m3u8
江苏卫视,http://58.254.14.59:808/hls/17/index.m3u8
江西卫视,http://113.109.117.242:8081/hls/59/index.m3u8
河北卫视,http://113.109.117.242:8081/hls/58/index.m3u8
河北卫视,http://120.84.121.106:808/hls/135/index.m3u8
河北卫视,http://120.84.121.126:808/hls/135/index.m3u8
河北卫视,http://120.84.121.54:808/hls/135/index.m3u8
河北卫视,http://120.84.121.206:808/hls/135/index.m3u8
河南卫视,http://120.84.121.126:808/hls/134/index.m3u8
河南卫视,http://120.84.121.25:808/hls/134/index.m3u8
河南卫视,http://120.84.121.106:808/hls/134/index.m3u8
河南卫视,http://113.64.145.200:8081/hls/96/index.m3u8
河南卫视,http://113.64.145.173:8081/hls/96/index.m3u8
河南卫视,http://120.84.121.201:808/hls/134/index.m3u8
河南卫视,http://183.1.250.176:8081/hls/96/index.m3u8
河南卫视,http://113.64.145.141:8081/hls/96/index.m3u8
浙江卫视,http://113.109.117.242:8081/hls/47/index.m3u8
浙江卫视,http://120.84.121.54:808/hls/129/index.m3u8
浙江卫视,http://120.84.121.206:808/hls/129/index.m3u8
浙江卫视,http://120.84.121.11:808/hls/129/index.m3u8
浙江卫视,http://120.84.121.201:808/hls/129/index.m3u8
浙江卫视,http://58.254.14.59:808/hls/18/index.m3u8
深圳卫视,http://120.84.121.25:808/hls/125/index.m3u8
深圳卫视,http://120.84.121.126:808/hls/125/index.m3u8
深圳卫视,http://113.109.117.242:8081/hls/43/index.m3u8
深圳卫视,http://120.84.121.201:808/hls/125/index.m3u8
深圳卫视,http://120.84.121.54:808/hls/125/index.m3u8
湖北卫视,http://113.109.117.242:8081/hls/52/index.m3u8
湖北卫视,http://120.84.121.106:808/hls/128/index.m3u8
湖北卫视,http://120.84.121.201:808/hls/128/index.m3u8
湖北卫视,http://120.84.121.206:808/hls/128/index.m3u8
湖南卫视,http://113.109.117.242:8081/hls/44/index.m3u8
湖南卫视,http://120.84.121.11:808/hls/126/index.m3u8
湖南卫视,http://120.84.121.25:808/hls/126/index.m3u8
湖南卫视,http://120.84.121.201:808/hls/126/index.m3u8
澳亚卫视,http://113.109.117.242:8081/hls/22/index.m3u8
甘肃卫视,http://120.84.121.206:808/hls/145/index.m3u8
甘肃卫视,http://120.84.121.126:808/hls/145/index.m3u8
甘肃卫视,http://120.84.121.106:808/hls/145/index.m3u8
甘肃卫视,http://120.84.121.201:808/hls/145/index.m3u8
甘肃卫视,http://120.84.121.54:808/hls/145/index.m3u8
甘肃卫视,http://14.155.226.95:8888/hls/27/index.m3u8
甘肃卫视,http://120.84.121.25:808/hls/145/index.m3u8
福建东南卫视,http://120.84.121.201:808/hls/141/index.m3u8
福建东南卫视,http://120.84.121.206:808/hls/141/index.m3u8
福建东南卫视,http://120.84.121.11:808/hls/141/index.m3u8
福建东南卫视,http://120.84.121.106:808/hls/141/index.m3u8
西藏卫视,http://120.84.121.106:808/hls/146/index.m3u8
西藏卫视,http://120.84.121.201:808/hls/146/index.m3u8
西藏卫视,http://120.84.121.54:808/hls/146/index.m3u8
西藏卫视,http://120.84.121.25:808/hls/146/index.m3u8
西藏卫视,http://120.84.121.11:808/hls/146/index.m3u8
贵州卫视,http://120.84.121.126:808/hls/127/index.m3u8
贵州卫视,http://120.84.121.25:808/hls/127/index.m3u8
贵州卫视,http://120.84.121.201:808/hls/127/index.m3u8
贵州卫视,http://120.84.121.54:808/hls/127/index.m3u8
贵州卫视,http://120.84.121.106:808/hls/127/index.m3u8
贵州卫视,http://113.109.117.242:8081/hls/55/index.m3u8
贵州卫视,http://120.84.121.206:808/hls/127/index.m3u8
辽宁卫视,http://113.109.117.242:8081/hls/54/index.m3u8
辽宁卫视,http://120.84.121.126:808/hls/133/index.m3u8
辽宁卫视,http://120.84.121.54:808/hls/133/index.m3u8
辽宁卫视,http://120.84.121.11:808/hls/133/index.m3u8
辽宁卫视,http://120.84.121.201:808/hls/133/index.m3u8
辽宁卫视,http://120.84.121.25:808/hls/133/index.m3u8
重庆卫视,http://120.84.121.201:808/hls/163/index.m3u8
重庆卫视,http://120.84.121.25:808/hls/163/index.m3u8
重庆卫视,http://120.84.121.106:808/hls/163/index.m3u8
重庆卫视,http://120.84.121.126:808/hls/163/index.m3u8
重庆卫视,http://183.1.249.104:8081/hls/76/index.m3u8
重庆卫视,http://113.64.145.200:8081/hls/76/index.m3u8
重庆卫视,http://113.64.145.186:8081/hls/76/index.m3u8
重庆卫视,http://113.64.145.154:8081/hls/76/index.m3u8
陕西卫视,http://120.84.121.206:808/hls/137/index.m3u8
陕西卫视,http://120.84.121.54:808/hls/137/index.m3u8
陕西卫视,http://113.109.117.242:8081/hls/65/index.m3u8
陕西卫视,http://120.84.121.106:808/hls/137/index.m3u8
陕西卫视,http://120.84.121.25:808/hls/137/index.m3u8
陕西卫视,http://120.84.121.201:808/hls/137/index.m3u8
陕西卫视,http://120.84.121.126:808/hls/137/index.m3u8
青海卫视,http://113.109.117.242:8081/hls/63/index.m3u8
黑龙江卫视,http://120.84.121.206:808/hls/139/index.m3u8
黑龙江卫视,http://113.109.117.242:8081/hls/49/index.m3u8
